Field1,Field2,Field3,Time
,,,
BRUCE HANSEN,Bruce ,"Professor of Economics, University of Wisconsin",Cited by 43927
,,,
GARY D. HANSEN,Gary D,"Professor of Economics, UCLA",Cited by 9933
ARNOLD C. HARBERGER,Arnold Harberger,"Professor of economics, ucla",Cited by 18046
DAVID HARPER,,,David AT Harper - Verified email at durham.ac.uk - Cited by 53483
JOSEPH HARRINGTON,Joseph Harrington,"Professor Business Economics & Public Policy, The Wharton School, University of …",Cited by 10744
JEFFREY HARRIS,,,Jeffrey R Harris - Verified email at uw.edu - Cited by 9713
RICHARD HARTMAN,Richard ,Loma Linda University,Cited by 7024
JAMES HECKMAN,James Heckman,"Professor of Economics at University of Chicago, American Bar Foundation Research Fellow",Cited by 234087
BRADLEY HEIM,Bradley Heim,"O'Neill School of Public and Environmental Affairs, Indiana University",Cited by 2580
JUDITH HELLERSTEIN,Judith ,"Professor of Economics, University of Maryland",Cited by 4925
ELHANAN HELPMAN,Elhanan Helpman,Harvard University,Cited by 128469
IGAL HENDEL,igal hendel,Northwestern University,Cited by 5045
J. VERNON HENDERSON,J,London School of Economics,Cited by 41849
KEN HENDRICKS,kenneth hendricks,University of Wisconsin - Madison,Cited by 4423
BENJAMIN E. HERMALIN,Benjamin Hermalin,University of California,Cited by 26470
PAULA HERNANDEZ-VERME,Paula Hernandez Verme,"Departamento de Economía y Finanzas, Universidad de Guanajuato",Cited by 299
ANA MARíA HERRERA,,,Ana María Herrera - Verified email at uky.edu - Cited by 3233
KEISUKE HIRANO,Keisuke Hirano,"Professor of Economics, Pennsylvania State University",Cited by 7258
JACK HIRSHLEIFER,Jack Hirshleifer,Professor at University of California Los Angeles,Cited by 28460
THOMAS HOLMES,,,Thomas J. Holmes - Verified email at umn.edu - Cited by 7401
CHARLES HOLT,Charles ,"A. Willis Robertson Professor of Political Economy, University of Virginia",Cited by 26400
HAN HONG,,,Han Hong - Verified email at stanford.edu - Cited by 6820
HUGO HOPENHAYN,Hugo Hopenhayn,Professor of Economics,Cited by 13321
JOEL HOROWITZ,Joel Horowitz,"Professor of Economics, Northwestern University",Cited by 21058
ALI HORTACSU,Ali Hortacsu,University of Chicago,Cited by 13591
V. JOSEPH HOTZ,Joseph Hotz,Duke University,Cited by 14554
CAROLINE HOXBY,Caroline Hoxby,"Scott and Donya Bommer Professor of Economics, Stanford University",Cited by 24241
CHANG-TAI HSIEH,Chang,"Professor of Economics, The University of Chicago Booth School of Business",Cited by 17926
LUOJIA HU,Luojia Hu,Federal Reserve Bank of Chicago,Cited by 1452
CHARLES HULTEN,Charles Hulten,"Professor of Economics, University of Maryland",Cited by 15792
GUIDO IMBENS,guido imbens,Stanford University,Cited by 87782
JAMES INGRAM,James ,"Senior Research Associate, Computational and Biological Learning Lab, University of …",Cited by 2162
SERGEI IZMALKOV,Sergei Izmalkov,New Economic School,Cited by 653
GEORGE JOHNSON,Johnson George,Senior Lecturer,Cited by 6921
JUSTIN JOHNSON,,,Justin Johnson - Verified email at umich.edu - Cited by 22879
MATTHEW O. JACKSON,Matthew O,"William D. Eberle Professor of Economics, Stanford University",Cited by 44670
SANJAY JAIN,,,sanjay jain - Verified email at wustl.edu - Cited by 15858
JOHN JAMES,John James,Verified email at forfity.com,
DENNIS JANSEN,Dennis ,"Director, Private Enterprise Research Center, Texas A&M University",Cited by 5024
MICHAEL JANSSON,Michael Jansson,"Professor of Economics, UC Berkeley",Cited by 3042
THOMAS D. JEITSCHKO,Thomas D Jeitschko,Michigan State University,Cited by 1465
WILLIAM JOHNSON,,,William L. Johnson - Verified email at caltech.edu - Cited by 60378
LARRY JONES,Larry ,"OSUSURGERY, The Ohio State University",Cited by 3207
CHARLES I. JONES,Charles I,"STANCO 25 Professor of Economics, Stanford University Graduate School of Business",Cited by 45571
PAUL JOSKOW,Paul Joskow,"Professor of Economics, Emeritus MIT; President, Emeritus Alfred P. Sloan Foundation",Cited by 34054
BOYAN JOVANOVIC,Boyan Jovanovic,NYU Economics,Cited by 42090
JOSEPH KABOSKI,Joseph ,"David F. and Erin M. Seng Foundation Professor of Economics, University of Notre Dame",Cited by 5741
JOHN KAGEL,John ,"Professor of Economics, Ohio State Univeristy",Cited by 21523
LAWRENCE KAHN,Lawrence ,"Braunstein Family Professor and Professor of Economics and Labor Relations, Cornell …",Cited by 24985
LUTZ KILIAN,Lutz Kilian,Federal Reserve Bank of Dallas,Cited by 35818
MILES KIMBALL,,,Miles Kimball - Verified email at colorado.edu - Cited by 17446
ROBERT G. KING,Robert G,Boston Univerity,Cited by 55545
LEVENT KOCKESEN,Levent Kockesen,"Professor of Economics, Koc University",Cited by 724
LAURENCE J. KOTLIKOFF,Laurence Kotlikoff,Boston University,Cited by 31292
ILLOONG KWON,Illoong Kwon,"Graduate School of Public Administration, Seoul National University",Cited by 753
CHARLES M. KAHN,Charles M,"Professor of Finance, University of Illinois",Cited by 11733
DANIEL KAHNEMAN,Daniel Kahneman,Princeton University (Emeritus),Cited by 510311
THOMAS KANE,Thomas Kane,"Professor of Education and Economics, Harvard University",Cited by 25894
DEAN KARLAN,Dean Karlan,"Professor of Economics and Finance, Northwestern University",Cited by 34433
LAWRENCE KATZ,Lawrence Katz,"Allison Professor of Economics, Harvard University",Cited by 98324
JONATHAN N. KATZ,Jonathan N,"Kay Sugahara Professor of Social Sciences and Statistics, California Institute of Technology",Cited by 19180
MICHAEL KATZ,,,Michael L Katz - Verified email at berkeley.edu - Cited by 33384
PATRICK KEHOE,,,Patrick J Kehoe - Verified email at stanford.edu - Cited by 28877
TIMOTHY KEHOE,Timothy ,"Distinguished McKnight University Professor, University of Minnesota",Cited by 12344
WOLFGANG KELLER,Wolfgang Keller,"Professor of Economics, University of Colorado",Cited by 16722
