Field1,Field2,Field3,Time
JOHN GENAKOPOLOS,John Geanakoplos,Yale University,Cited by 20963
,,,
PINELOPI GOLDBERG,Pinelopi ,"Elihu Professor of Economics, Yale University",Cited by 19288
MICHAEL KEANE,,,Michael Keane - Verified email at unsw.edu.au - Cited by 24659
STEFAN KRIEGER,Stefan Krieger,"Professor of Law, Hofstra University",Cited by 431
SHYAM SUNDER,Shyam Sunder,Yale University,Cited by 16767
ERIC VAN WINCOOP,Eric van Wincoop,"Professor of Economics, University of Virginia",Cited by 26004
HAL R. VARIAN,Hal Varian,"Chief Economist, Google",Cited by 93852
MICHAEL WOODFORD,Michael Woodford,Columbia University,Cited by 64372
ROBERT P. ABELSON,Robert P,Yale University,Cited by 57981
JENNIFER ABLOW,Jennifer ,"Associate Professor of Psychology, University of Oregon",Cited by 5104
LYN ABRAMSON,Lyn Abramson,Verified email at wisc.edu,
PAUL R. ABRAMSON,Paul Abramson,Michigan State University,Cited by 18001
KENNETH ADAMS,Kenneth Adams,"Assistant Professor of Biology, Bridgewater State University",Cited by 1749
KAREN ADOLPH,Karen ,New York University,Cited by 13464
CHRISTOPHER AGNEW,,,Christopher R. Agnew - Verified email at purdue.edu - Cited by 13781
DUANE ALBRECHT,Duane ,"Professor, University of Texas at Austin",Cited by 7654
MARTHA ALIBALI,Martha ,"Professor of Psychology, University of Wisconsin",Cited by 22661
NICOLE ALLEN,Nicole ,"Professor, University of Illinois Urbana Champaign",Cited by 4384
JOSEPH P. ALLEN,Joseph P,University of Virginia,Cited by 27898
JAMES ALLEN,,,James Allen - Verified email at cs.rochester.edu - Cited by 45838
BARBARA ANDERSEN,Barbara ,"Distinguished Professor of Psychology, Distinguished University Professor, Ohio State …",Cited by 20518
JOHN ANDERSON,John ,"Professor of Psychology, Carnegie Mellon University",Cited by 159204
CAROLYN J. ANDERSON,,,Carolyn J. Anderson - Verified email at pitt.edu - Cited by 15487
DANIEL ANDERSON,,,Daniel G. Anderson - Verified email at mit.edu - Cited by 75049
MICHAEL ANDERSON,,,Michael C. Anderson - Verified email at mrc-cbu.cam.ac.uk - Cited by 18593
