y,t,g,Q
1.0,0,0.49201110005378723,0.9373893141746521
1.0,0,0.230307474732399,1.0000747442245483
1.0,0,0.06737179309129715,0.9999215602874756
1.0,0,0.8206526637077332,1.1092218160629272
1.0,0,0.4753211438655853,0.9055736064910889
1.0,0,0.2507662773132324,0.9980702996253967
1.0,0,0.47215548157691956,0.9147783517837524
0.0,0,0.46137741208076477,0.9068639278411865
1.0,0,0.4753211438655853,0.9373893141746521
1.0,0,0.46137741208076477,0.9373893141746521
1.0,0,0.47215548157691956,0.9373893141746521
1.0,0,0.44199857115745544,0.9109954833984375
1.0,0,0.44199857115745544,0.9068639278411865
0.0,0,0.49201110005378723,0.9373893141746521
0.0,0,0.49201110005378723,0.9147783517837524
1.0,0,0.46137741208076477,0.9068639278411865
1.0,0,0.49201110005378723,0.9109954833984375
1.0,0,0.44199857115745544,0.9068639278411865
0.0,0,0.49201110005378723,0.9373893141746521
1.0,0,0.4753211438655853,0.9109954833984375
1.0,0,0.49201110005378723,0.9109954833984375
1.0,0,0.46137741208076477,0.9109954833984375
1.0,0,0.47215548157691956,0.9055736064910889
1.0,0,0.47215548157691956,0.9068639278411865
1.0,0,0.6724170446395874,1.053070068359375
1.0,0,0.4753211438655853,0.9068639278411865
1.0,0,0.46137741208076477,0.9068639278411865
1.0,0,0.4753211438655853,0.9109954833984375
1.0,0,0.44199857115745544,0.9109954833984375
1.0,0,0.9044874906539917,0.8261212110519409
1.0,0,0.49201110005378723,0.9109954833984375
1.0,0,0.46137741208076477,0.9373893141746521
1.0,0,0.17767766118049622,0.9979825019836426
0.0,0,0.8518365025520325,1.0002964735031128
1.0,0,0.49201110005378723,0.9055736064910889
1.0,0,0.44199857115745544,0.9109954833984375
0.0,0,0.7945860028266907,0.9137539267539978
1.0,0,0.07163095474243164,1.0000747442245483
1.0,0,0.08842481672763824,0.999920666217804
1.0,0,0.08049546182155609,0.9990823268890381
1.0,0,0.22817088663578033,0.9986615777015686
0.0,0,0.6648632884025574,0.9997034668922424
1.0,0,0.44199857115745544,0.9147783517837524
1.0,0,0.49201110005378723,0.9109954833984375
1.0,0,0.5424838662147522,1.0062178373336792
1.0,0,0.17767766118049622,0.9994230270385742
1.0,0,0.08049546182155609,0.9996418356895447
1.0,0,0.17767766118049622,0.9993270039558411
1.0,0,0.3606896698474884,0.9997034668922424
1.0,0,0.3606896698474884,0.9980702996253967
